Código de Ruta,Descripción de la ruta,Código recorrido ,Descripción del recorrido,Sentido,Dia,Mes,Año,Cantidad de Pasajeros Regulares,Cantidad de Adultos Mayores,Ingresos
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,25,6,2026,947,0,516115
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,24,6,2026,977,0,532465
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,23,6,2026,911,0,496495
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,22,6,2026,1088,0,592960
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,19,6,2026,847,0,461615
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,18,6,2026,939,0,511755
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,17,6,2026,974,0,530830
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,16,6,2026,975,0,531375
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,15,6,2026,955,0,520475
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,12,6,2026,985,0,536825
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,11,6,2026,984,0,536280
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,10,6,2026,894,0,487230
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,9,6,2026,1029,0,560805
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,8,6,2026,1055,0,574975
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,5,6,2026,803,0,437635
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,4,6,2026,974,0,530830
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,3,6,2026,938,0,511210
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,2,6,2026,1101,0,600045
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,1,6,2026,988,0,538460
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,30,6,2026,2033,136,1107985
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,29,6,2026,2160,169,1177200
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,26,6,2026,2115,151,1152675
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,25,6,2026,2513,216,1369585
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,24,6,2026,2665,184,1452425
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,23,6,2026,2629,208,1432805
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,22,6,2026,1769,146,964105
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,19,6,2026,2484,146,1353780
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,18,6,2026,2524,194,1375580
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,17,6,2026,2540,224,1384300
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,16,6,2026,2611,211,1422995
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,15,6,2026,2052,192,1118340
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,12,6,2026,2159,211,1176655
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,11,6,2026,2436,189,1327620
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,10,6,2026,2553,225,1391385
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,9,6,2026,2564,147,1397380
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,8,6,2026,2463,187,1342335
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,5,6,2026,2302,145,1254590
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Origen – Destino,4,6,2026,2437,203,1328165
